NUMTIT,NUMCAP,nombreCapitulo,CAPITULO,DESCRIPCION
1,1,Capítulo 1,Derechos Fundamentales de las Personas,Artículos del 1º al 3º
1,2,Capítulo 2,De los Derechos Sociales y Económicos,Artículos del 4º al 29º
1,3,Capítulo 3,De los Derechos Políticos y los Deberes,Artículos del 30º al 38º
1,4,Capítulo 4,De la Función Pública,Artículos del 39º al 42º
2,1,Capítulo 1,"Del Estado, la Nación y el Territorio",Artículos del 43º al 54º
2,2,Capítulo 2,De los Tratados,Artículos del 55º al 57º
3,1,Capítulo 1,Principios Generales,Artículos del 58º al 65º
3,2,Capítulo 2,Del Ambiente y los Recursos Naturales,Artículos del 66º al 69º
3,3,Capítulo 3,De la Propiedad,Artículos del 70º al 73º
3,4,Capítulo 4,Del Régimen Tributario y Presupuestal,Artículos del 74º al 82º
3,5,Capítulo 5,De la Moneda y la Banca,Artículos del 83º al 87º
3,6,Capítulo 6,Del Régimen Agrario y de las Comunidades Campesinas y Nativas,Artículos 88º y 89º
4,1,Capítulo 1,Poder Legislativo,Artículos del 90º al 102º
4,2,Capítulo 2,De la Función Legislativa,Artículos del 103º al 106º
4,3,Capítulo 3,De la Formación y Promulgación de las Leyes,Artículos del 107º al 109º
4,4,Capítulo 4,Poder Ejecutivo,Artículos del 110º al 118º
4,5,Capítulo 5,Del Consejo de Ministros,Artículos del 119º al 129º
4,6,Capítulo 6,De las Relaciones con el Poder Legislativo,Artículos del 130º al 136º
4,7,Capítulo 7,Régimen de Excepción,Artículo 137º
4,8,Capítulo 8,Poder Judicial,Artículos del 138º al 149º
4,9,Capítulo 9,Del Consejo Nacional de la Magistratura,Artículos del 150º al 157º
4,10,Capítulo 10,Del Ministerio Público,Artículos del 158º al 160º
4,11,Capítulo 11,De la Defensoría del Pueblo,Artículos 161º y 162º
4,12,Capítulo 12,De la Seguridad y de la Defensa Nacional,Artículos del 163º al 175º
4,13,Capítulo 13,Del Sistema Electoral,Artículos del 176º al 187º
4,14,Capítulo 14,De la Descentralización,Artículos del 188º al 199º
